event_name,category,organizer,description,posted_events_count
AI Workshop,Tech,ABC Org,Hands-on AI and machine learning workshop with real projects,2
Music Night,Music,XYZ Events,Live acoustic music evening with local artists,6
Startup Meetup,Tech,Startup Hub,Networking session for founders and investors,4
Yoga Camp,Health,Fitness Club,Morning yoga and meditation session in park,3
Free iPhone Giveaway,Tech,SpamOrg,Click here win free iPhone now,25
Crypto Seminar,Finance,Crypto Bros,Learn crypto trading secrets and win rewards,12
Art Exhibition,Art,City Arts,Local artists showcasing paintings and sculptures,1
Coding Bootcamp,Tech,ABC Org,Intensive coding bootcamp for beginners,2
DJ Party,Nightlife,Night Crew,Ultimate DJ night party free entry click now,18
Photography Walk,Art,Photo Club,Street photography walk around city landmarks,2
Career Guidance,Education,EdHelp,Career counseling for students and freshers,5
Free Laptop Scheme,Education,SpamOrg,Win free laptop register now click fast,30
Poetry Open Mic,Art,WordSmiths,Open mic poetry and storytelling event,1
Fitness Challenge,Health,Fitness Club,30 day fitness challenge registration open,4
Blockchain Meetup,Tech,Crypto Bros,Discussion on blockchain future trends,12
Charity Run,Sports,NGO Trust,5km charity run for social cause,1
Online Trading Class,Finance,MarketGurus,Learn stock trading with guaranteed profit,20
Robotics Expo,Tech,Robotics Assoc,Robotics projects exhibition by students,2
Gaming Tournament,Esports,Gamers Hub,Competitive gaming tournament with prizes,7
Free Movie Tickets,Entertainment,SpamOrg,Click here get free movie tickets now,22
event_name,category,organizer,description,posted_events_count
Tech Meetup,Tech,ABC Org,Learn AI and ML basics with hands-on workshop,2
Music Night,Music,XYZ Events,Enjoy music,15
Startup Talk,Tech,ABC Org,Startup funding and growth strategies explained in detail,2
Free iPhone Giveaway,Tech,SpamOrg,Click here win prize now,25
